accommodates,bathrooms,bedrooms,beds,price
2,1.0,1.0,1.0,50.0
3,1.0,1.0,1.0,125.0
4,1.0,1.0,3.0,100.0
4,3.0,3.0,3.0,300.0
4,1.0,1.0,1.0,69.0
7,1.0,2.0,5.0,150.0
2,1.0,1.0,1.0,101.0
4,1.5,2.0,2.0,100.0
4,1.0,1.0,1.0,200.0
2,1.0,1.0,2.0,115.0
4,2.0,3.0,3.0,62.0
4,1.0,1.0,2.0,85.0
2,1.5,1.0,1.0,44.0
2,1.5,1.0,1.0,47.0
3,1.0,1.0,2.0,39.0
2,1.0,1.0,1.0,49.0
2,1.5,1.0,1.0,85.0
2,1.0,1.0,1.0,50.0
4,1.0,1.0,1.0,105.0
2,1.0,1.0,2.0,45.0
1,1.0,1.0,1.0,70.0
1,1.0,1.0,1.0,65.0
2,1.0,1.0,1.0,90.0
4,1.0,1.0,1.0,63.0
8,1.0,1.0,3.0,125.0
7,1.0,1.0,2.0,110.0
6,1.0,1.0,4.0,200.0
3,1.0,1.0,2.0,38.0
3,1.0,1.0,2.0,49.0
1,1.0,1.0,1.0,43.0
1,1.0,1.0,1.0,35.0
1,1.5,1.0,1.0,85.0
2,1.5,1.0,2.0,44.0
4,1.0,1.0,2.0,109.0
1,1.0,1.0,1.0,40.0
3,1.0,1.0,2.0,120.0
3,1.0,2.0,2.0,52.0
5,1.0,2.0,2.0,200.0
4,1.0,1.0,2.0,100.0
3,1.0,1.0,2.0,100.0
2,1.0,1.0,1.0,55.0
1,1.0,1.0,1.0,100.0
1,1.0,1.0,1.0,35.0
8,1.0,2.0,4.0,97.0
2,1.0,1.0,1.0,50.0
1,1.0,1.0,2.0,40.0
2,1.0,1.0,1.0,100.0
2,1.0,1.0,1.0,55.0
3,1.0,1.0,2.0,115.0
8,2.0,3.0,6.0,220.0
5,1.0,1.0,1.0,85.0
1,1.0,1.0,1.0,89.0
2,1.0,1.0,1.0,100.0
3,1.0,1.0,1.0,90.0
6,1.0,2.0,2.0,130.0
1,1.0,1.0,1.0,22.0
2,1.0,1.0,1.0,55.0
1,1.0,1.0,1.0,45.0
2,1.0,1.0,1.0,65.0
2,1.0,1.0,2.0,65.0
2,1.0,1.0,1.0,85.0
2,1.0,1.0,1.0,54.0
2,1.0,1.0,1.0,100.0
1,1.0,1.0,1.0,40.0
2,1.0,1.0,1.0,92.0
3,1.0,1.0,1.0,200.0
2,1.0,1.0,1.0,75.0
1,1.0,1.0,1.0,100.0
3,1.0,2.0,2.0,60.0
2,1.0,1.0,1.0,390.0
4,1.0,2.0,2.0,200.0
4,2.0,2.0,2.0,125.0
4,1.0,1.0,2.0,89.0
2,1.0,1.0,1.0,45.0
2,1.0,1.0,1.0,129.0
2,1.0,1.0,1.0,200.0
1,1.0,1.0,1.0,45.0
2,1.0,1.0,1.0,75.0
6,1.0,1.0,3.0,100.0
2,1.0,1.0,1.0,125.0
7,1.0,3.0,4.0,188.0
4,1.0,1.0,1.0,125.0
6,1.0,2.0,2.0,150.0
7,1.0,3.0,5.0,181.0
1,1.0,1.0,1.0,55.0
1,1.0,1.0,1.0,68.0
4,1.0,2.0,2.0,110.0
2,1.0,1.0,1.0,80.0
4,1.0,1.0,2.0,150.0
3,1.0,1.0,1.0,65.0
2,1.0,1.0,2.0,110.0
2,1.0,1.0,1.0,65.0
2,1.0,1.0,1.0,50.0
3,1.0,1.0,1.0,60.0
2,1.0,1.0,2.0,40.0
6,1.0,2.0,2.0,133.0
4,1.0,2.0,2.0,165.0
4,1.0,1.0,2.0,95.0
2,1.0,1.0,1.0,80.0
2,1.0,1.0,1.0,46.0
2,1.0,1.0,1.0,69.0
1,1.0,1.0,1.0,35.0
1,1.0,1.0,1.0,49.0
6,1.0,2.0,3.0,200.0
2,1.0,1.0,1.0,80.0
3,1.0,2.0,2.0,200.0
6,1.0,2.0,5.0,199.0
1,1.0,1.0,1.0,55.0
4,1.0,2.0,3.0,150.0
2,1.0,1.0,1.0,79.0
2,2.0,1.0,1.0,45.0
1,1.0,1.0,1.0,40.0
2,1.0,1.0,1.0,59.0
1,1.0,2.0,1.0,150.0
2,1.0,1.0,2.0,89.0
1,1.0,1.0,1.0,34.0
4,1.0,1.0,2.0,150.0
8,2.0,2.0,5.0,175.0
1,1.0,1.0,1.0,45.0
3,1.0,1.0,1.0,45.0
2,1.0,1.0,1.0,75.0
6,1.0,2.0,4.0,140.0
2,1.0,1.0,1.0,65.0
2,1.0,1.0,2.0,80.0
2,1.0,1.0,1.0,112.0
3,1.0,1.0,3.0,87.0
1,1.0,1.0,1.0,60.0
6,1.0,2.0,4.0,130.0
1,1.0,1.0,1.0,35.0
2,1.0,1.0,2.0,60.0
1,1.0,1.0,1.0,57.0
2,1.0,1.0,1.0,100.0
2,1.0,1.0,1.0,50.0
1,1.0,1.0,1.0,44.0
1,1.0,1.0,1.0,85.0
2,1.0,1.0,1.0,60.0
2,1.0,1.0,1.0,80.0
2,1.0,1.0,1.0,159.0
2,1.0,1.0,1.0,65.0
1,1.0,1.0,1.0,34.0
1,1.0,1.0,1.0,40.0
7,1.0,2.0,3.0,130.0
3,1.0,1.0,2.0,75.0
4,1.0,1.0,2.0,180.0
1,1.0,1.0,1.0,70.0
2,1.0,1.0,1.0,36.0
1,1.0,1.0,1.0,60.0
2,1.0,1.0,1.0,50.0
2,1.0,1.0,1.0,65.0
2,1.5,1.0,1.0,84.0
5,1.0,1.0,2.0,115.0
12,1.0,3.0,5.0,225.0
2,2.0,1.0,1.0,60.0
4,1.0,1.0,2.0,129.0
2,1.0,1.0,1.0,165.0
1,1.0,1.0,1.0,49.0
2,1.0,1.0,1.0,69.0
5,1.0,1.0,2.0,120.0
2,1.0,1.0,1.0,75.0
1,1.0,1.0,1.0,100.0
2,1.0,1.0,1.0,58.0
2,1.0,1.0,1.0,50.0
3,1.0,1.0,1.0,159.0
1,1.0,1.0,1.0,89.0
2,1.0,1.0,1.0,47.0
1,1.0,1.0,1.0,50.0
2,1.0,1.0,1.0,49.0
7,1.0,2.0,2.0,135.0
2,1.0,1.0,2.0,60.0
1,1.0,1.0,1.0,45.0
11,1.0,3.0,6.0,153.0
2,1.0,1.0,2.0,85.0
4,1.0,1.0,2.0,90.0
4,1.0,1.0,1.0,120.0
3,1.0,1.0,1.0,75.0
1,1.0,1.0,1.0,70.0
5,1.0,1.0,3.0,215.0
2,1.0,1.0,1.0,90.0
2,1.0,1.0,1.0,99.0
4,1.0,2.0,2.0,250.0
1,1.0,1.0,1.0,75.0
2,1.0,1.0,1.0,105.0
1,1.0,1.0,1.0,50.0
2,1.0,1.0,1.0,70.0
4,1.0,1.0,1.0,99.0
2,1.0,1.0,1.0,54.0
4,1.0,2.0,4.0,250.0
2,1.0,1.0,1.0,70.0
2,1.0,1.0,1.0,73.0
1,1.0,1.0,1.0,45.0
1,1.0,1.0,1.0,70.0
2,1.0,1.0,1.0,75.0
5,1.0,3.0,2.0,150.0
1,1.0,1.0,1.0,50.0
4,1.0,1.0,1.0,45.0
2,1.0,1.0,1.0,50.0
2,1.0,1.0,1.0,50.0
2,1.0,1.0,1.0,60.0
2,1.0,1.0,1.0,60.0
2,1.0,1.0,3.0,150.0
2,1.0,1.0,1.0,65.0
2,1.0,1.0,1.0,65.0
3,1.0,1.0,2.0,105.0
6,1.0,1.0,3.0,83.0
2,1.0,1.0,1.0,125.0
1,1.0,1.0,1.0,40.0
1,1.0,1.0,1.0,45.0
1,1.0,1.0,1.0,70.0
1,2.0,1.0,1.0,49.0
2,1.0,1.0,1.0,60.0
2,1.0,1.0,1.0,52.0
1,1.0,1.0,1.0,58.0
10,1.5,3.0,6.0,140.0
4,1.0,2.0,2.0,180.0
2,1.0,1.0,1.0,80.0
4,1.0,1.0,2.0,106.0
2,1.0,1.0,1.0,55.0
8,1.0,3.0,3.0,200.0
5,1.0,2.0,3.0,200.0
1,1.0,1.0,1.0,49.0
1,1.0,1.0,1.0,55.0
2,1.0,1.0,1.0,90.0
2,1.0,1.0,1.0,95.0
3,1.0,1.0,1.0,65.0
6,2.5,3.0,1.0,250.0
8,1.0,3.0,5.0,178.0
4,1.0,1.0,1.0,127.0
2,1.0,1.0,1.0,75.0
5,1.0,2.0,2.0,117.0
5,1.0,3.0,3.0,125.0
6,1.0,2.0,2.0,130.0
2,1.0,1.0,1.0,150.0
14,3.0,3.0,12.0,360.0
7,2.0,2.0,6.0,199.0
2,1.0,1.0,2.0,89.0
2,1.0,1.0,1.0,100.0
1,1.0,1.0,1.0,47.0
2,1.0,1.0,1.0,50.0
2,1.0,1.0,1.0,80.0
2,1.0,1.0,2.0,85.0
6,1.0,3.0,3.0,129.0
2,1.0,1.0,1.0,100.0
3,1.0,1.0,1.0,55.0
4,1.0,2.0,3.0,160.0
6,2.0,2.0,3.0,235.0
4,1.0,1.0,3.0,40.0
6,1.0,2.0,3.0,280.0
2,1.5,1.0,1.0,68.0
3,1.0,1.0,1.0,100.0
2,2.0,1.0,1.0,55.0
3,1.0,1.0,2.0,76.0
3,1.0,2.0,2.0,133.0
6,1.0,1.0,4.0,42.0
2,2.0,1.0,1.0,59.0
4,1.0,2.0,2.0,160.0
3,1.0,1.0,2.0,59.0
1,1.0,1.0,1.0,55.0
1,1.0,1.0,1.0,32.0
2,1.0,1.0,1.0,69.0
2,1.0,1.0,1.0,60.0
2,1.0,1.0,1.0,450.0
2,1.0,1.0,1.0,100.0
4,1.0,1.0,1.0,110.0
4,1.0,1.0,3.0,129.0
2,1.5,1.0,1.0,30.0
10,2.0,8.0,8.0,30.0
1,1.0,2.0,1.0,75.0
2,1.0,1.0,1.0,75.0
1,1.0,1.0,1.0,80.0
5,1.0,2.0,3.0,175.0
5,1.0,1.0,2.0,120.0
1,1.0,1.0,1.0,48.0
2,1.0,1.0,1.0,70.0
1,1.0,1.0,1.0,50.0
4,1.0,1.0,1.0,138.0
3,1.0,2.0,3.0,70.0
1,1.0,1.0,1.0,75.0
1,1.0,1.0,1.0,40.0
2,1.0,1.0,1.0,70.0
1,1.0,1.0,1.0,105.0
2,1.0,1.0,1.0,100.0
1,1.0,1.0,1.0,40.0
2,1.0,1.0,1.0,95.0
6,1.0,1.0,4.0,135.0
2,1.0,1.0,1.0,95.0
6,1.0,2.0,2.0,174.0
7,1.0,2.0,4.0,188.0
1,1.0,1.0,1.0,68.0
2,1.0,1.0,1.0,80.0
2,1.0,1.0,1.0,59.0
1,1.0,1.0,1.0,125.0
6,1.0,2.0,3.0,130.0
3,1.0,1.0,2.0,150.0
6,1.0,2.0,4.0,100.0
4,1.0,2.0,2.0,140.0
4,1.0,2.0,2.0,100.0
3,1.0,1.0,1.0,95.0
2,1.0,1.0,1.0,60.0
1,1.0,1.0,1.0,29.0
4,1.0,1.0,3.0,95.0
2,1.0,1.0,1.0,59.0
1,1.0,1.0,1.0,35.0
1,1.0,1.0,1.0,45.0
1,1.0,1.0,1.0,40.0
2,1.0,1.0,1.0,55.0
2,1.0,1.0,1.0,75.0
2,1.0,1.0,2.0,80.0
1,1.0,1.0,1.0,65.0
4,1.0,1.0,2.0,95.0
1,1.0,1.0,1.0,38.0
